elapsed_s,timestamp,ground_truth,estimated_distance,new_messages,poll_bit_errors,poll_bits_sent,poll_ber,cumulative_bit_errors,cumulative_bits_sent,cumulative_ber,cumulative_messages,cumulative_exact_matches,cumulative_packet_success_rate,resync_errors,missed_start_pulses,edge_threshold
0.0,2026-08-08T17:26:28,Alpha One Two Three,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,1,0,(unknown)
5.0,2026-08-08T17:26:34,Bravo Four Five Six,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,1,0,(unknown)
10.0,2026-08-08T17:26:38,Bravo Four Five Six,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,2,0,(unknown)
15.0,2026-08-08T17:26:44,Bravo Four Five Six,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,2,0,(unknown)
20.0,2026-08-08T17:26:48,Bravo Four Five Six,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,2,0,(unknown)
25.0,2026-08-08T17:26:53,Bravo Four Five Six,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,2,0,(unknown)
30.0,2026-08-08T17:26:58,Charlie Seven Eight,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,2,0,(unknown)
35.0,2026-08-08T17:27:04,Charlie Seven Eight,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,3,0,(unknown)
40.0,2026-08-08T17:27:08,Charlie Seven Eight,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,3,0,(unknown)
45.0,2026-08-08T17:27:14,Charlie Seven Eight,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,3,0,(unknown)
50.0,2026-08-08T17:27:18,Charlie Seven Eight,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,3,0,(unknown)
55.0,2026-08-08T17:27:23,Delta Nine Zero Ten,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,3,0,(unknown)
60.0,2026-08-08T17:27:29,Delta Nine Zero Ten,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,4,0,(unknown)
65.0,2026-08-08T17:27:33,Delta Nine Zero Ten,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,4,0,(unknown)
70.0,2026-08-08T17:27:38,Delta Nine Zero Ten,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,4,0,(unknown)
75.0,2026-08-08T17:27:44,Delta Nine Zero Ten,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,4,0,(unknown)
80.0,2026-08-08T17:27:48,Echo Eleven Twelve,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,4,0,(unknown)
85.0,2026-08-08T17:27:53,Echo Eleven Twelve,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,5,0,(unknown)
90.0,2026-08-08T17:27:59,Echo Eleven Twelve,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,5,0,(unknown)
95.0,2026-08-08T17:28:03,Echo Eleven Twelve,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,5,0,(unknown)
100.0,2026-08-08T17:28:08,Echo Eleven Twelve,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,5,0,(unknown)
105.0,2026-08-08T17:28:13,Foxtrot Thirteen 14,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,5,0,(unknown)
110.0,2026-08-08T17:28:18,Foxtrot Thirteen 14,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,5,0,(unknown)
115.0,2026-08-08T17:28:23,Foxtrot Thirteen 14,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,5,0,(unknown)
120.0,2026-08-08T17:28:29,Foxtrot Thirteen 14,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,5,0,(unknown)
125.0,2026-08-08T17:28:33,Foxtrot Thirteen 14,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,6,0,(unknown)
130.0,2026-08-08T17:28:38,Foxtrot Thirteen 14,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,7,0,(unknown)
135.0,2026-08-08T17:28:43,Alpha One Two Three,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,8,0,(unknown)
140.0,2026-08-08T17:28:48,Alpha One Two Three,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,8,0,(unknown)
145.0,2026-08-08T17:28:53,Alpha One Two Three,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,8,0,(unknown)
150.0,2026-08-08T17:28:59,Alpha One Two Three,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,8,0,(unknown)
155.0,2026-08-08T17:29:03,Alpha One Two Three,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,8,0,(unknown)
160.0,2026-08-08T17:29:08,Bravo Four Five Six,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,8,0,(unknown)
165.0,2026-08-08T17:29:14,Bravo Four Five Six,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,8,0,(unknown)
170.0,2026-08-08T17:29:19,Bravo Four Five Six,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,8,0,(unknown)
175.0,2026-08-08T17:29:23,Bravo Four Five Six,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,8,0,(unknown)
180.0,2026-08-08T17:29:28,Bravo Four Five Six,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,8,0,(unknown)
185.0,2026-08-08T17:29:34,Charlie Seven Eight,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,8,0,(unknown)
190.0,2026-08-08T17:29:38,Charlie Seven Eight,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,8,0,(unknown)
195.0,2026-08-08T17:29:44,Charlie Seven Eight,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,8,0,(unknown)
200.0,2026-08-08T17:29:48,Charlie Seven Eight,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,8,0,(unknown)
205.0,2026-08-08T17:29:53,Charlie Seven Eight,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,8,0,(unknown)
210.0,2026-08-08T17:29:58,Delta Nine Zero Ten,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,8,0,(unknown)
215.0,2026-08-08T17:30:03,Delta Nine Zero Ten,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,8,0,(unknown)
220.0,2026-08-08T17:30:09,Delta Nine Zero Ten,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,8,0,(unknown)
230.0,2026-08-08T17:30:19,Echo Eleven Twelve,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,8,0,(unknown)
235.0,2026-08-08T17:30:23,Echo Eleven Twelve,n/a (decoder mode),0,0,0,,0,0,0.0,0,0,0.0,8,0,(unknown)
