elapsed_s,timestamp,ground_truth,estimated_distance,new_messages,poll_bit_errors,poll_bits_sent,poll_ber,cumulative_bit_errors,cumulative_bits_sent,cumulative_ber,cumulative_messages,cumulative_exact_matches,cumulative_packet_success_rate,resync_errors,missed_start_pulses,edge_threshold
0.0,2026-08-02T15:38:18,Hello world!,Pending ML Model (TBD),5,9,480,0.01875,9,480,0.01875,5,3,0.6,28,174,1199
3.0,2026-08-02T15:38:21,Hello world!,Pending ML Model (TBD),1,0,96,0.0,9,576,0.015625,6,4,0.6666666666666666,28,174,1432
6.0,2026-08-02T15:38:24,Hello world!,Pending ML Model (TBD),1,0,96,0.0,9,672,0.013392857142857142,7,5,0.7142857142857143,28,174,1455
9.0,2026-08-02T15:38:27,Hello world!,Pending ML Model (TBD),0,0,0,,9,672,0.013392857142857142,7,5,0.7142857142857143,28,174,1455
12.0,2026-08-02T15:38:30,Hello world!,Pending ML Model (TBD),0,0,0,,9,672,0.013392857142857142,7,5,0.7142857142857143,28,174,1455
15.0,2026-08-02T15:38:33,Hello world!,Pending ML Model (TBD),1,96,96,1.0,105,768,0.13671875,8,5,0.625,28,174,1418
18.0,2026-08-02T15:38:36,Hello world!,Pending ML Model (TBD),1,8,96,0.08333333333333333,113,864,0.13078703703703703,9,5,0.5555555555555556,28,174,1201
21.0,2026-08-02T15:38:39,Hello world!,Pending ML Model (TBD),0,0,0,,113,864,0.13078703703703703,9,5,0.5555555555555556,28,174,1201
24.0,2026-08-02T15:38:42,Hello world!,Pending ML Model (TBD),1,0,96,0.0,113,960,0.11770833333333333,10,6,0.6,28,174,1440
27.0,2026-08-02T15:38:45,Hello world!,Pending ML Model (TBD),1,8,96,0.08333333333333333,121,1056,0.11458333333333333,11,6,0.5454545454545454,28,181,1430
30.0,2026-08-02T15:38:48,Hello world!,Pending ML Model (TBD),1,0,96,0.0,121,1152,0.10503472222222222,12,7,0.5833333333333334,28,181,1241
33.0,2026-08-02T15:38:52,Hello world!,Pending ML Model (TBD),0,0,0,,121,1152,0.10503472222222222,12,7,0.5833333333333334,28,181,1241
36.0,2026-08-02T15:38:54,Hello world!,Pending ML Model (TBD),1,8,96,0.08333333333333333,129,1248,0.10336538461538461,13,7,0.5384615384615384,28,181,1470
39.0,2026-08-02T15:38:57,Hello world!,Pending ML Model (TBD),1,0,96,0.0,129,1344,0.09598214285714286,14,8,0.5714285714285714,28,181,1416
42.0,2026-08-02T15:39:00,Hello world!,Pending ML Model (TBD),0,0,0,,129,1344,0.09598214285714286,14,8,0.5714285714285714,28,181,1416
45.0,2026-08-02T15:39:03,Hello world!,Pending ML Model (TBD),1,8,96,0.08333333333333333,137,1440,0.09513888888888888,15,8,0.5333333333333333,28,181,1421
48.0,2026-08-02T15:39:06,Hello world!,Pending ML Model (TBD),1,0,96,0.0,137,1536,0.08919270833333333,16,9,0.5625,28,181,1426
51.0,2026-08-02T15:39:09,Hello world!,Pending ML Model (TBD),1,0,96,0.0,137,1632,0.08394607843137254,17,10,0.5882352941176471,28,181,1435
54.0,2026-08-02T15:39:12,Hello world!,Pending ML Model (TBD),0,0,0,,137,1632,0.08394607843137254,17,10,0.5882352941176471,28,181,1435
57.0,2026-08-02T15:39:15,Hello world!,Pending ML Model (TBD),1,0,96,0.0,137,1728,0.07928240740740741,18,11,0.6111111111111112,29,185,1104
60.0,2026-08-02T15:39:18,Hello world!,Pending ML Model (TBD),1,8,96,0.08333333333333333,145,1824,0.07949561403508772,19,11,0.5789473684210527,29,185,1421
63.0,2026-08-02T15:39:21,Hello world!,Pending ML Model (TBD),1,0,96,0.0,145,1920,0.07552083333333333,20,12,0.6,29,185,1311
66.0,2026-08-02T15:39:24,Hello world!,Pending ML Model (TBD),0,0,0,,145,1920,0.07552083333333333,20,12,0.6,29,185,1311
69.0,2026-08-02T15:39:27,Hello world!,Pending ML Model (TBD),1,1,96,0.010416666666666666,146,2016,0.07242063492063493,21,12,0.5714285714285714,29,185,1476
72.0,2026-08-02T15:39:30,Hello world!,Pending ML Model (TBD),1,0,96,0.0,146,2112,0.06912878787878787,22,13,0.5909090909090909,29,185,1272
75.0,2026-08-02T15:39:34,Hello world!,Pending ML Model (TBD),0,0,0,,146,2112,0.06912878787878787,22,13,0.5909090909090909,29,185,1272
78.0,2026-08-02T15:39:36,Hello world!,Pending ML Model (TBD),1,0,96,0.0,146,2208,0.0661231884057971,23,14,0.6086956521739131,29,185,1501
81.0,2026-08-02T15:39:39,Hello world!,Pending ML Model (TBD),1,0,96,0.0,146,2304,0.06336805555555555,24,15,0.625,29,185,1408
84.0,2026-08-02T15:39:42,Hello world!,Pending ML Model (TBD),1,8,96,0.08333333333333333,154,2400,0.06416666666666666,25,15,0.6,29,185,1439
87.0,2026-08-02T15:39:45,Hello world!,Pending ML Model (TBD),0,0,0,,154,2400,0.06416666666666666,25,15,0.6,29,185,1439
90.0,2026-08-02T15:39:48,Hello world!,Pending ML Model (TBD),1,0,96,0.0,154,2496,0.06169871794871795,26,16,0.6153846153846154,29,185,1472
93.0,2026-08-02T15:39:51,Hello world!,Pending ML Model (TBD),1,8,96,0.08333333333333333,162,2592,0.0625,27,16,0.5925925925925926,29,185,1431
96.0,2026-08-02T15:39:54,Hello world!,Pending ML Model (TBD),1,0,96,0.0,162,2688,0.060267857142857144,28,17,0.6071428571428571,29,185,1249
99.0,2026-08-02T15:39:57,Hello world!,Pending ML Model (TBD),0,0,0,,162,2688,0.060267857142857144,28,17,0.6071428571428571,29,185,1249
102.0,2026-08-02T15:40:00,Hello world!,Pending ML Model (TBD),1,0,96,0.0,162,2784,0.05818965517241379,29,18,0.6206896551724138,29,185,1455
105.0,2026-08-02T15:40:03,Hello world!,Pending ML Model (TBD),0,0,0,,162,2784,0.05818965517241379,29,18,0.6206896551724138,29,185,1455
108.0,2026-08-02T15:40:06,Hello world!,Pending ML Model (TBD),0,0,0,,162,2784,0.05818965517241379,29,18,0.6206896551724138,29,185,1455
111.0,2026-08-02T15:40:09,Hello world!,Pending ML Model (TBD),1,96,96,1.0,258,2880,0.08958333333333333,30,18,0.6,29,185,1473
114.0,2026-08-02T15:40:13,Hello world!,Pending ML Model (TBD),1,8,96,0.08333333333333333,266,2976,0.08938172043010753,31,18,0.5806451612903226,30,190,1426
117.0,2026-08-02T15:40:16,Hello world!,Pending ML Model (TBD),1,0,96,0.0,266,3072,0.08658854166666667,32,19,0.59375,30,190,1347
120.0,2026-08-02T15:40:18,Hello world!,Pending ML Model (TBD),0,0,0,,266,3072,0.08658854166666667,32,19,0.59375,30,190,1347
123.0,2026-08-02T15:40:21,Hello world!,Pending ML Model (TBD),1,8,96,0.08333333333333333,274,3168,0.08648989898989899,33,19,0.5757575757575758,31,194,1429
126.0,2026-08-02T15:40:24,Hello world!,Pending ML Model (TBD),1,0,96,0.0,274,3264,0.08394607843137254,34,20,0.5882352941176471,31,194,1417
129.0,2026-08-02T15:40:27,Hello world!,Pending ML Model (TBD),0,0,0,,274,3264,0.08394607843137254,34,20,0.5882352941176471,31,202,1008
132.0,2026-08-02T15:40:30,Hello world!,Pending ML Model (TBD),1,8,96,0.08333333333333333,282,3360,0.08392857142857142,35,20,0.5714285714285714,31,202,1444
135.0,2026-08-02T15:40:33,Hello world!,Pending ML Model (TBD),1,0,96,0.0,282,3456,0.08159722222222222,36,21,0.5833333333333334,31,202,1420
138.0,2026-08-02T15:40:36,Hello world!,Pending ML Model (TBD),1,1,96,0.010416666666666666,283,3552,0.07967342342342343,37,21,0.5675675675675675,31,202,1228
141.0,2026-08-02T15:40:39,Hello world!,Pending ML Model (TBD),0,0,0,,283,3552,0.07967342342342343,37,21,0.5675675675675675,31,202,1228
144.0,2026-08-02T15:40:42,Hello world!,Pending ML Model (TBD),1,0,96,0.0,283,3648,0.07757675438596491,38,22,0.5789473684210527,31,202,1444
147.0,2026-08-02T15:40:45,Hello world!,Pending ML Model (TBD),1,0,96,0.0,283,3744,0.07558760683760683,39,23,0.5897435897435898,31,202,1394
150.0,2026-08-02T15:40:48,Hello world!,Pending ML Model (TBD),1,0,96,0.0,283,3840,0.07369791666666667,40,24,0.6,31,202,1436
153.0,2026-08-02T15:40:51,Hello world!,Pending ML Model (TBD),0,0,0,,283,3840,0.07369791666666667,40,24,0.6,31,202,1436
156.0,2026-08-02T15:40:54,Hello world!,Pending ML Model (TBD),1,8,96,0.08333333333333333,291,3936,0.07393292682926829,41,24,0.5853658536585366,31,202,1477
159.0,2026-08-02T15:40:57,Hello world!,Pending ML Model (TBD),1,0,96,0.0,291,4032,0.07217261904761904,42,25,0.5952380952380952,31,202,1381
162.0,2026-08-02T15:41:00,Hello world!,Pending ML Model (TBD),0,0,0,,291,4032,0.07217261904761904,42,25,0.5952380952380952,31,211,1211
165.0,2026-08-02T15:41:03,Hello world!,Pending ML Model (TBD),1,8,96,0.08333333333333333,299,4128,0.07243217054263566,43,25,0.5813953488372093,31,211,1464
168.0,2026-08-02T15:41:06,Hello world!,Pending ML Model (TBD),1,0,96,0.0,299,4224,0.07078598484848485,44,26,0.5909090909090909,32,212,1402
171.0,2026-08-02T15:41:09,Hello world!,Pending ML Model (TBD),1,8,96,0.08333333333333333,307,4320,0.07106481481481482,45,26,0.5777777777777777,32,212,1434
174.0,2026-08-02T15:41:12,Hello world!,Pending ML Model (TBD),0,0,0,,307,4320,0.07106481481481482,45,26,0.5777777777777777,32,212,1434
177.0,2026-08-02T15:41:15,Hello world!,Pending ML Model (TBD),1,0,96,0.0,307,4416,0.06951992753623189,46,27,0.5869565217391305,32,212,1442
180.0,2026-08-02T15:41:18,Hello world!,Pending ML Model (TBD),1,8,96,0.08333333333333333,315,4512,0.06981382978723404,47,27,0.574468085106383,32,212,1439
183.0,2026-08-02T15:41:21,Hello world!,Pending ML Model (TBD),0,0,0,,315,4512,0.06981382978723404,47,27,0.574468085106383,32,212,1439
186.0,2026-08-02T15:41:24,Hello world!,Pending ML Model (TBD),1,0,96,0.0,315,4608,0.068359375,48,28,0.5833333333333334,32,220,1278
