time_ms,raw,filtered
0,64863,64863
51,65279,416
101,65535,256
151,65503,-32
201,64927,-576
251,65375,448
301,65439,64
351,65535,96
401,65535,0
451,65535,0
501,65535,0
551,65055,-480
601,65535,480
651,65535,0
701,65087,-448
751,65055,-32
801,65503,448
851,64959,-544
901,64991,32
951,65535,544
1001,39673,-25862
1051,39561,-112
1101,39161,-400
1151,39433,272
1201,39129,-304
1251,39273,144
1301,39625,352
1351,39689,64
1401,39817,128
1451,39657,-160
1501,39241,-416
1551,39609,368
1601,39673,64
1651,39209,-464
1701,39321,112
1787,39545,224
1837,39161,-384
1887,39209,48
1937,39753,544
1987,65215,25462
2037,65535,320
2087,65535,0
2137,65151,-384
2187,65535,384
2237,65535,0
2287,65535,0
2337,65471,-64
2387,65535,64
2437,65535,0
2487,65535,0
2537,65535,0
2587,65103,-432
2637,65535,432
2687,64911,-624
2737,65535,624
2787,65071,-464
2837,65535,464
2887,64911,-624
2937,65151,240
2987,39225,-25926
3037,39673,448
3087,39289,-384
3137,39673,384
3187,39065,-608
3237,39561,496
3287,39641,80
3337,39657,16
3387,39657,0
3437,39641,-16
3490,39609,-32
3540,39177,-432
3590,39353,176
3640,39145,-208
3690,39625,480
3740,39161,-464
3790,39065,-96
3840,39657,592
3890,39081,-576
3940,39737,656
3990,65103,25366
4040,65263,160
4090,63391,-1872
4140,60782,-2609
4190,65007,4225
4240,64911,-96
4290,65167,256
4340,65071,-96
4390,62175,-2896
4440,63759,1584
4490,65119,1360
4540,64927,-192
4590,64927,0
4640,65039,112
4690,65135,96
4740,59342,-5793
4790,65071,5729
4840,64831,-240
4890,64991,160
4940,63215,-1776
4990,39417,-23798
5040,39065,-352
5090,39497,432
5140,39561,64
5190,39369,-192
5240,39689,320
5290,39529,-160
5340,39497,-32
5390,39049,-448
5440,39833,784
5490,39753,-80
5540,39193,-560
5590,39209,16
5640,39609,400
5690,39817,208
5740,39481,-336
5790,39145,-336
5840,39593,448
5890,39161,-432
5940,39769,608
5990,63023,23254
6040,65263,2240
6090,65039,-224
6140,64879,-160
6190,61182,-3697
6240,64015,2833
6290,64927,912
6340,64879,-48
6390,65167,288
6440,64847,-320
6490,65007,160
6540,65455,448
6590,64911,-544
6640,64863,-48
6690,62783,-2080
6740,65103,2320
6793,60606,-4497
6843,64959,4353
6893,64831,-128
6943,64927,96
6993,39689,-25238
7043,39625,-64
7093,39241,-384
7143,39849,608
7193,39385,-464
7243,39049,-336
7293,39561,512
7343,39177,-384
7393,39657,480
7443,39529,-128
7493,39209,-320
7543,39433,224
7593,39353,-80
7643,39193,-160
7693,39401,208
7743,39225,-176
7793,39209,-16
7843,39209,0
7893,39817,608
7943,39609,-208
7993,61983,22374
8043,64815,2832
8093,61903,-2912
8143,62927,1024
8193,65071,2144
8243,59774,-5297
8293,64815,5041
8343,65055,240
8393,65007,-48
8443,62463,-2544
8493,64943,2480
8543,65279,336
8593,65087,-192
8643,60878,-4209
8693,64847,3969
8743,65039,192
8793,65535,496
8843,64959,-576
8893,61358,-3601
8943,64735,3377
8993,39577,-25158
9043,39673,96
9093,39465,-208
9143,39593,128
9193,39561,-32
9243,39769,208
9293,39689,-80
9343,39721,32
9393,39353,-368
9443,39401,48
9493,39129,-272
9543,39369,240
9593,39689,320
9643,39145,-544
9693,39049,-96
9743,39161,112
9793,39657,496
9843,39737,80
9893,39433,-304
9943,39673,240
9993,65375,25702
10046,65423,48
10096,65503,80
10146,65215,-288
10196,64975,-240
10246,64975,0
10296,65439,464
10346,64927,-512
10396,64879,-48
10446,63391,-1488
10496,62223,-1168
10546,65535,3312
10596,63807,-1728
10646,65023,1216
10696,64927,-96
10746,63135,-1792
10796,65119,1984
10846,62495,-2624
10896,65119,2624
10946,64991,-128
10996,39689,-25302
11046,39097,-592
11096,39641,544
11146,39177,-464
11196,39689,512
11246,39833,144
11296,39705,-128
11346,39209,-496
11396,39641,432
11446,39689,48
11496,39593,-96
11546,39065,-528
11596,39385,320
11646,39065,-320
11696,39609,544
11746,39641,32
11796,39513,-128
11846,39529,16
11896,39145,-384
11946,39561,416
11996,65407,25846
12046,65007,-400
12096,65247,240
12146,64719,-528
12196,65183,464
12246,64959,-224
12296,64911,-48
12346,65039,128
12396,65023,-16
12446,65535,512
12496,64911,-624
12546,65439,528
12596,65311,-128
12646,65311,0
12696,65535,224
12746,65391,-144
12796,64847,-544
12846,65423,576
12896,65423,0
12946,65055,-368
12996,39625,-25430
13046,39369,-256
13096,39529,160
13181,39625,96
13231,39465,-160
13281,39417,-48
13331,39177,-240
13381,39081,-96
13431,39737,656
13481,39657,-80
13531,39497,-160
13581,39225,-272
13631,39465,240
13681,39065,-400
13731,39593,528
13781,39721,128
13831,39433,-288
13881,39225,-208
13931,39689,464
13981,64655,24966
14031,65055,400
14081,56749,-8306
14131,62511,5762
14181,64815,2304
14231,65071,256
14281,65039,-32
14331,64863,-176
14381,65119,256
14431,65103,-16
14481,61791,-3312
14531,64991,3200
14581,65119,128
14631,65183,64
14681,65023,-160
14731,65071,48
14781,62639,-2432
14831,59598,-3041
14881,64927,5329
14931,65247,320
14981,39113,-26134
15031,39657,544
15081,39593,-64
15131,39657,64
